
fuzzy_threshold=100
did 	 dtitle 	 dauthor 	 dvenue 	 dyear 	 drowid
journals/vldb/Baumann94	manag multidimension discret data	baumann	vldb j.	1994	2544
2Yii02idzcUJ	manag multidimension discret data	baumann	"the vldb journal the international journal on very large  &hellip;,"	1994	41087
journals/vldb/PeckhamMD95	data model extens support explicit relationship design databas	peckham mackellar doherty	vldb j.	1995	2548
zOfVTNgEwz0J	data model extens support explicit relationship design databas	peckham mackellar doherty	"the vldb journal the international journal on very large  &hellip;,"	1995	12947
journals/vldb/DanYC95	character databas access pattern analyt predict buffer hit probabl	dan chung	vldb j.	1995	2552
SsOLRJZrmtYJ	character databas access pattern analyt predict buffer hit probabl	dan chung	"the vldb journal the international journal on very large  &hellip;,"	1995	48796
journals/vldb/DerrMP94	gluenail deduct databas system design implement evalu	derr morishita phipps	vldb j.	1994	2553
a-QMCFr5yJYJ	gluenail deduct databas system design implement evalu	derr morishita phipps	"the vldb journal the international journal on very large  &hellip;,"	1994	36453
journals/vldb/GeorgakopoulosRL94	chronolog schedul transact tempor depend	georgakopoulos rusinkiewicz litwin	vldb j.	1994	2556
G85JsnuAjzMJ	chronolog schedul transact tempor depend	georgakopoulos rusinkiewicz litwin	"the vldb journal the international journal on very large  &hellip;,"	1994	48617
journals/vldb/WhangKW94	dynam mainten data distribut select estim	whang kim wiederhold	vldb j.	1994	2557
gLSOYwdwIQ8J	dynam mainten data distribut select estim	whang kim wiederhold	"the vldb journal the international journal on very large  &hellip;,"	1994	17135
journals/vldb/Sciore94	version configur manag objectori data model	sciore	vldb j.	1994	2560
qHn6nrbVow8J	version configur manag objectori data model	sciore	"the vldb journal the international journal on very large  &hellip;,"	1994	27350
journals/vldb/LinJF94	tvtree index structur highdimension data	lin jagadish faloutsos	vldb j.	1994	2561
vmxFQL7lhKoJ	tvtree index structur highdimension data	lin jagadish faloutsos	"the vldb journal the international journal on very large  &hellip;,"	1994	8786
journals/vldb/LeeW94	effici instanti viewobject remot relat databas	lee wiederhold	vldb j.	1994	2562
KPU-guH7cCkJ	effici instanti viewobject remot relat databas	lee wiederhold	"the vldb journal the international journal on very large  &hellip;,"	1994	34162
journals/vldb/Bertino94	index configur objectori databas	bertino	vldb j.	1994	2565
ylP7n4GU-DQJ	index configur objectori databas	bertino	"the vldb journal the international journal on very large  &hellip;,"	1994	7510
journals/vldb/RamamohanaraoH94	introduct deduct databas languag system	ramamohanarao harland	vldb j.	1994	2566
UiWvxN_y9SAJ	introduct deduct databas languag system	ramamohanarao harland	"the vldb journal the international journal on very large  &hellip;,"	1994	7710
conf/vldb/Toivonen96	sampl larg databas associ rule	toivonen	vldb	1996	2569
ut53pjEsmxEJ	sampl larg databas associ rule	toivonen	"vldb,"	1996	25339
conf/vldb/SarawagiS96	reorder queri execut tertiari memori databas	sarawagi stonebraker	vldb	1996	2572
GzBmx-QUxFYJ	reorder queri execut tertiari memori databas	sarawagi stonebraker	"proceedings of the international conference on very large  &hellip;,"	1996	49815
journals/sigmod/Chang03	graphic queri languag mobil inform system	chang	sigmod record	2003	2574
B55TCVoUsnoJ	graphic queri languag mobil inform system	chang	"acm sigmod record,"	2003	37811
journals/sigmod/WenLMZ03	multiparadigm queri approach gener multimedia databas manag system	wen zhang	sigmod record	2003	2576
5KdceadGf8cJ	multiparadigm queri approach gener multimedia databas manag system	wen zhang	"sigmod record,"	2003	33063
conf/vldb/Suciu96	queri decomposit view mainten queri languag unstructur data	suciu	vldb	1996	2578
D45fvUWVon0J	queri decomposit view mainten queri languag unstructur data	suciu	"vldb,"	1996	61563
journals/sigmod/AilamakiG03	time manag new faculti	ailamaki gehrke	sigmod record	2003	2581
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D777004%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	time manag new faculti	ailamaki gehrke	"sigmod record,"	2003	34631
conf/vldb/Kleewein96	practic issu commerci use feder databas	kleewein	vldb	1996	2585
rXaCSxty6AAJ	practic issu commerci use feder databas	kleewein	"proceedings of the international conference on very large  &hellip;,"	1996	35577
conf/vldb/Gawlick96	scalabl avail oracle7 73	gawlick	vldb	1996	2590
Y5OJk6_D-ZUJ	scalabl avail oracle7 73	gawlick	"proceedings of the international conference on very large  &hellip;,"	1996	55233
journals/sigmod/Snodgrass02b	right tod reader author review	snodgrass	sigmod record	2002	2591
KENWBobILMwJ	right tod reader author review	snodgrass	"sigmod record,"	2002	6646
conf/vldb/Mattos96	support procedur construct sql compil	mattos	vldb	1996	2592
EpBlTCJ0_dUJ	support procedur construct sql compil	mattos	"proceedings of the international conference on very large  &hellip;,"	1996	39600
conf/vldb/Atal96	xp approach load unload terabyt databas	atal	vldb	1996	2594
PaW8zjiNR9cJ	xp approach load unload terabyt databas	atal	"proceedings of the international conference on very large  &hellip;,"	1996	12876
conf/vldb/Dasgupta96	larg databas remot sens gi	dasgupta	vldb	1996	2596
A0c2Gd1lP5QJ	larg databas remot sens gi	dasgupta	"proceedings of the international conference on very large  &hellip;,"	1996	46831
conf/vldb/Hammond96	use referenti integr easili defin consist subset replica	hammond	vldb	1996	2597
LDxiVdRU6EEJ	use referenti integr easili defin consist subset replica	hammond	"proceedings of the international conference on very large  &hellip;,"	1996	17573
journals/sigmod/Aberer02c	book review column	aberer	sigmod record	2002	2599
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
conf/vldb/BertinoBFS96	support period author tempor reason databas access control	bertino bettini ferrari samarati	vldb	1996	2601
s0v9B-K8owEJ	support period author tempor reason databas access control	bertino bettini ferrari samarati	"proceedings of the international conference on very large  &hellip;,"	1996	4290
journals/sigmod/MaximilienS02	conceptu model web servic reput	maximilien singh	sigmod record	2002	2606
hgjhR8PwNVwJ	conceptu model web servic reput	maximilien singh	"sigmod record,"	2002	49532
conf/vldb/Cuppens96	queri multilevel databas logic analysi	cuppens	vldb	1996	2607
8_HtXom0CVgJ	queri multilevel databas logic analysi	cuppens	"proceedings of the international conference on very large  &hellip;,"	1996	12369
journals/sigmod/BusslerFM02	conceptu architectur semant web enabl web servic	bussler fensel maedche	sigmod record	2002	2608
RaOQG4YyzM4J	conceptu architectur semant web enabl web servic	bussler fensel maedche	"sigmod record,"	2002	35093
conf/vldb/Dyreson96	inform retriev incomplet data cube	dyreson	vldb	1996	2610
AfM_N94rVD0J	inform retriev incomplet data cube	dyreson	"proceedings of the international conference on very large  &hellip;,"	1996	8749
conf/vldb/RamakrishnanR96	model design version	ramakrishnan ram	vldb	1996	2614
3y1e-H-FdC0J	model design version	ramakrishnan ram	"proceedings of the 22th international conference on very  &hellip;,"	1996	29923
conf/vldb/ShaferAM96	sprint scalabl parallel classifi data mine	shafer agrawal mehta	vldb	1996	2615
5HHRNLsy0sAJ	sprint scalabl parallel classifi data mine	shafer agrawal mehta	"vldb,"	1996	11706
fuzzy_threshold=90
did 	 dtitle 	 dauthor 	 dvenue 	 dyear 	 drowid
journals/sigmod/EisenbergM02	sqlxml make good progress	eisenberg melton	sigmod record	2002	2
wgK6p4mDSIMJ	sqlxml make good progress	eisenberg melton	"sigmod record,"	2002	63690
conf/vldb/AmmannJR95	use formal method reason semanticsbas decomposit transact	ammann jajodia ray	vldb	1995	3
x-H7BqZ0Hw8J	use formal method reason semanticsbas decomposit transact	ammann jajodia ray	"proceedings of the international conference on very large  &hellip;,"	1995	21171
conf/vldb/SubietaKL95	procedur objectori queri languag	subieta kambayashi leszczylowski	vldb	1995	7
gEFY87Ma0XUJ	procedur objectori queri languag	subieta kambayashi leszczylowski	"proceedings of the international conference on very large  &hellip;,"	1995	38991
journals/sigmod/BargaL02	phoenix project faulttoler applic	barga lomet	sigmod record	2002	8
QTzV3iNq2O8J	phoenix project faulttoler applic	barga lomet	"sigmod record,"	2002	40746
conf/vldb/ChaudhuriGS95	retriev composit multimedia object	chaudhuri ghandeharizadeh shahabi	vldb	1995	12
77Sb5mlyASgJ	retriev composit multimedia object	chaudhuri ghandeharizadeh shahabi	"proceedings of the 21th international conference on very  &hellip;,"	1995	46614
journals/sigmod/Kosch02	mpeg7 multimedia databas system	kosch	sigmod record	2002	13
_avm808LQocJ	mpeg7 multimedia databas system	kosch	"sigmod record,"	2002	27627
conf/vldb/LuTD95	fittest surviv adapt approach queri optim	tan dao	vldb	1995	14
qX-uYKXVk7EJ	fittest surviv adapt approach queri optim	tan dao	"proceedings of the international conference on very large  &hellip;,"	1995	49866
conf/vldb/TreschPL95	type classif semistructur document	tresch palmer luniewski	vldb	1995	16
1rPUqMFsS3AJ	type classif semistructur document	tresch palmer luniewski	"proceedings of the international conference on very large  &hellip;,"	1995	3179
conf/vldb/SrikantA95	mine gener associ rule	srikant agrawal	vldb	1995	20
Ve-JH2yNN0kJ	mine gener associ rule	srikant agrawal		1995	5058
conf/vldb/HaasNSS95	samplingbas estim number distinct valu attribut	haas naughton seshadri stokes	vldb	1995	21
x70Y3qaTL40J	samplingbas estim number distinct valu attribut	haas naughton seshadri stokes	"vldb,"	1995	14199
journals/sigmod/Aberer02	book review column	aberer	sigmod record	2002	22
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
conf/vldb/FlodinR95	process objectori queri invert late bound function	flodin risch	vldb	1995	23
WmtiDGY_BdoJ	process objectori queri invert late bound function	flodin risch	"proceedings of the 21th international conference on very  &hellip;,"	1995	36538
journals/sigmod/Kim02	conceptu model specif gener b2b busi process base ebxml	kim	sigmod record	2002	26
1PPb2Y8X7rAJ	conceptu model specif gener b2b busi process base ebxml	kim	"sigmod record,"	2002	16331
conf/vldb/LuSL95	neurorul connectionist approach data mine	setiono liu	vldb	1995	27
h7_7SZrI7M0J	neurorul connectionist approach data mine	setiono liu	"vldb,"	1995	49913
journals/sigmod/CiliaB02	activ function servic ebusi applic	cilia buchmann	sigmod record	2002	30
Y1HVgTopekIJ	activ function servic ebusi applic	cilia buchmann	"sigmod record,"	2002	23455
conf/vldb/LometT95	redo recoveri system crash	lomet tuttle	vldb	1995	32
7KawVN8Kj10J	redo recoveri system crash	lomet tuttle	"vldb,"	1995	28921
conf/vldb/Wang95	db2 queri parallel stage implement	wang	vldb	1995	33
7FUOWtSbiogJ	db2 queri parallel stage implement	wang	"proceedings of the 21th international conference on very  &hellip;,"	1995	61219
journals/sigmod/HalkidiBV02	cluster valid method part	halkidi batistakis vazirgiannis	sigmod record	2002	38
GHjgDrEbqM4J	cluster valid method part	halkidi batistakis vazirgiannis	"sigmod record,"	2002	11886
journals/sigmod/PourabbasR02	pictori queri languag queri geograph databas use posit olap oper	pourabbas rafanelli	sigmod record	2002	39
QyNfyYDySawJ	pictori queri languag queri geograph databas use posit olap oper	pourabbas rafanelli	"sigmod record,"	2002	60341
conf/vldb/HoelS95	benchmark spatial join oper spatial output	hoel samet	vldb	1995	40
hwBMsP8-fXcJ	benchmark spatial join oper spatial output	hoel samet	"proceedings of the international conference on very large  &hellip;,"	1995	2552
conf/vldb/HoelS95	benchmark spatial join oper spatial output	hoel samet	vldb	1995	40
7KsyQNj74A4J	benchmark spatial join oper spatial output 606618	hoel samet		1995	5473
journals/sigmod/SlivinskasJS02	bring order queri optim	slivinskas jensen snodgrass	sigmod record	2002	41
xTPSs2k_pUIJ	bring order queri optim	slivinskas jensen snodgrass	"acm sigmod record,"	2002	43603
conf/vldb/BrownS95	bigsur system manag earth scienc data	brown stonebraker	vldb	1995	42
F-v-VG2RBQoJ	bigsur system manag earth scienc data	brown stonebraker	"&hellip;  international conference on very large data bases table of  &hellip;,"	1995	2163
conf/vldb/LeslieJBY95	effici search multidimension btree	leslie jain birdsall yaghmai	vldb	1995	44
zmwPMSd8rGgJ	effici search multidimension btree	leslie jain birdsall yaghmai	"vldb,"	1995	63634
journals/sigmod/CruzKLSWY02	research activ databas manag inform retriev univers illinoi chicago	cruz khokhar liu sistla wolfson	sigmod record	2002	45
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D601882%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	research activ databas manag inform retriev univers illinoi  	cruz khokhar liu sistla wolfson	"sigmod record,"	2002	42318
conf/vldb/Lindsay95	db2 common server technolog progress  direct	lindsay	vldb	1995	48
RIpWKrKho0MJ	db2 common server technolog progress amp direct	lindsay	"proceedings of the international conference on very large  &hellip;,"	1995	12694
journals/sigmod/Wiegand02	investig xqueri queri across databas object type	wiegand	sigmod record	2002	49
RAcoVQuEzD8J	investig xqueri queri across databas object type	wiegand	"sigmod record,"	2002	61163
journals/sigmod/OrlandicLS02	design retriev techniqu highdimension data tertiari storag	orlandic lukaszuk swietlik	sigmod record	2002	51
eLf0eStn5G4J	design retriev techniqu highdimension data tertiari storag	orlandic lukaszuk swietlik	"sigmod record,"	2002	36934
conf/vldb/WienerN95	oodb bulk load revisit partitionedlist approach	wiener naughton	vldb	1995	52
Y1lEnVPl6d8J	oodb bulk load revisit partitionedlist approach	wiener naughton	"proceedings of the international conference on very large  &hellip;,"	1995	6362
journals/sigmod/Fagin02	combin fuzzi inform overview	fagin	sigmod record	2002	55
C3swZi1md5YJ	combin fuzzi inform overview	fagin	"sigmod record,"	2002	51445
conf/vldb/GoyalHSS95	index concurr control firm realtim databas system	goyal haritsa seshadri srinivasan	vldb	1995	57
2sGH4SLcdL4J	index concurr control firm realtim databas system	goyal haritsa seshadri srinivasan	"proceedings of the 21th international conference on very  &hellip;,"	1995	13763
conf/vldb/BestavrosB95	valuecogniz specul concurr control	bestavros braoudakis	vldb	1995	59
lGyhpsPV6ogJ	valuecogniz specul concurr control	bestavros braoudakis	"proceedings of the international conference on very large  &hellip;,"	1995	39873
conf/vldb/WuYCT95	perform studi workfil disk manag concurr mergesort multiprocessor databas system	chung teng	vldb	1995	62
A5s_U6Ixg3EJ	perform studi workfil disk manag concurr mergesort multiprocessor  	chung teng	"proceedings of the international conference on very large  &hellip;,"	1995	26453
conf/vldb/MogiK95	hot block cluster disk array dynam stripe	mogi kitsuregawa	vldb	1995	63
39DBh8H18iEJ	hot block cluster disk array dynam stripe	mogi kitsuregawa	"proceedings of the international conference on very large  &hellip;,"	1995	22768
journals/sigmod/Aberer02a	book review column	aberer	sigmod record	2002	64
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
conf/vldb/JonscherD94	approach build secur databas feder	jonscher dittrich	vldb	1994	66
1R21hO7j9sQJ	approach build secur databas feder	jonscher dittrich	"vldb,"	1994	36505
journals/sigmod/YaoG02	cougar approach innetwork queri process sensor network	yao gehrke	sigmod record	2002	67
ARLe7W8EvDoJ	cougar approach innetwork queri process sensor network	yao gehrke	"sigmod record,"	2002	14320
conf/vldb/Galindo-LegariaPK94	fast random joinord select  use transform	galindolegaria pellenkoft kersten	vldb	1994	70
47fE4F2kahEJ	fast random joinord selectionwhi use transform	galindolegaria pellenkoft kersten	"vldb,"	1994	7803
conf/vldb/WienerN94	bulk load oodb perform studi	wiener naughton	vldb	1994	72
PrUWsoySLGcJ	bulk load oodb perform studi	wiener naughton	"proceedings of the international conference on very large  &hellip;,"	1994	37719
conf/vldb/NgH94	effici effect cluster method spatial data mine	han	vldb	1994	73
YMluKoJrxMcJ	effici effect cluster method spatial data mine	han		1994	53617
journals/sigmod/Neven02	automata theori xml research	neven	sigmod record	2002	74
xAXF0HSF4h8J	automata theori xml research	neven	"sigmod record,"	2002	12937
conf/vldb/BrownCC94	fast increment index fulltext inform retriev	brown callan croft	vldb	1994	76
oayI0FKl-nQJ	fast increment index fulltext inform retriev	brown callan croft	"proceedings of the international conference on very large  &hellip;,"	1994	25690
conf/vldb/OuzzaniAB94	topdown approach two level serializ	ouzzani atroun belkhodja	vldb	1994	80
CgoUJ7DogcwJ	topdown approach two level serializ	ouzzani atroun belkhodja	"proceedings of the 20th international conference on very  &hellip;,"	1994	56168
conf/vldb/FrohnLU94	access object path express rule	frohn lausen uphoff	vldb	1994	81
xpreqF8k7N4J	access object path express rule	frohn lausen uphoff	"proceedings of the international conference on very large  &hellip;,"	1994	25609
conf/vldb/KemperK94	dualbuff strategi object base	kemper kossmann	vldb	1994	87
qUfWV4VVxegJ	dualbuff strategi object base	kemper kossmann	"vldb,"	1994	48632
journals/sigmod/LightstoneLZ02	toward autonom comput db2 univers databas	lightstone lohman zilio	sigmod record	2002	92
7TYVQTwq9FIJ	toward autonom comput db2 univers databas	lightstone lohman zilio	"sigmod record,"	2002	15950
conf/vldb/BaralisW94	algebra approach rule analysi expert databas system	baralis widom	vldb	1994	94
q-td2YANr18J	algebra approach rule analysi expert databas system	baralis widom	"proceedings of the international conference on very large  &hellip;,"	1994	7258
conf/vldb/AgrawalS94	fast algorithm mine associ rule larg databas	agrawal srikant	vldb	1994	96
P0age7qyZacJ	fast algorithm mine associ rule larg databas	agrawal srikant		1994	7823
conf/vldb/HaberIL95	opossum desktop schema manag customiz visual	haber ioannidis livny	vldb	1995	98
UM1ZozyrJnIJ	opossum desktop schema manag customiz visual	haber ioannidis livny	"proceedings of the international conference on very large  &hellip;,"	1995	13709
conf/vldb/EvangelidisLS95	hbptree modifi hbtree support concurr recoveri node consolid	evangelidis lomet salzberg	vldb	1995	102
EbGZKQPyH_4J	hbptree modifi hbtree support concurr recoveri node consolid	evangelidis lomet salzberg	"proceedings of the international conference on very large  &hellip;,"	1995	21911
journals/sigmod/FininJ02	agent turst inform access semant web	finin joshi	sigmod record	2002	106
rg8576nvnkUJ	agent turst inform access semant web	finin joshi	"sigmod record,"	2002	53955
conf/vldb/Brin95	near neighbor search larg metric space	brin	vldb	1995	108
dXegp-RmzXEJ	near neighbor search larg metric space	brin	"vldb,"	1995	29303
conf/vldb/SistlaYLL95	similar base retriev pictur use indic spatial relationship	sistla liu liu	vldb	1995	112
HtTNmhCJY-oJ	similar base retriev pictur use indic spatial relationship	sistla liu liu	"proceedings of the international conference on very large  &hellip;,"	1995	13852
conf/vldb/Meier95	provid databas migrat tool  practicion approach	meier	vldb	1995	114
C_lenwvj88AJ	provid databas migrat toolsa practicion approach	meier	"proceedings of the 21th international conference on very  &hellip;,"	1995	39083
conf/vldb/Vaskevitch95	larg databas larg differ	vaskevitch	vldb	1995	117
s6Ax0WdZp6IJ	larg databas larg differ	vaskevitch	"proceedings of the international conference on very large  &hellip;,"	1995	60634
journals/sigmod/Aberer02b	book review column	aberer	sigmod record	2002	118
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604274%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	book review column	aberer	sigmod	2002	6685
journals/sigmod/HuangKL02	studi manag semant transact effici data retriev	huang kwan	sigmod record	2002	119
yyUMt1X2WXcJ	studi manag semant transact effici data retriev	huang kwan	"sigmod record,"	2002	23180
conf/vldb/CatozziR95	os support vldb unix enhanc teradata data base	catozzi rabinovici	vldb	1995	121
8ftKLh07LM0J	os support vldb unix enhanc teradata data base	catozzi rabinovici	"proceedings of the international conference on very large  &hellip;,"	1995	17415
journals/sigmod/Grohe02	parameter complex databas theorist	grohe	sigmod record	2002	123
jzwiskpRLOUJ	parameter complex databas theorist	grohe	"sigmod record,"	2002	13572
conf/vldb/Fecteau95	manag db2 parallel edit databas	fecteau	vldb	1995	124
LhjvKpDcJKUJ	manag db2 parallel edit databas	fecteau	"proceedings of the international conference on very large  &hellip;,"	1995	7407
journals/sigmod/RoantreeS02	research inform manag dublin citi univers	roantree smeaton	sigmod record	2002	125
xfrOR_G4_UoJ	research inform manag dublin citi univers	roantree smeaton	"acm sigmod record,"	2002	16586
conf/vldb/Hallmark95	oracl warehous	hallmark	vldb	1995	126
xTKZ6OuegIEJ	oracl warehous	hallmark	"proceedings of the 21th international conference on very  &hellip;,"	1995	29458
conf/vldb/Spintzik95	informixonlin xp dynam scalabl rdbm open parallel platform	spintzik	vldb	1995	127
QcD01ZjsNcIJ	informixonlin xp dynam scalabl rdbm open parallel platform	spintzik	"proceedings of the international conference on very large  &hellip;,"	1995	22159
conf/vldb/AmielBDS94	support except schema consist eas schema evolut oodbm	amiel bellosta dujardin simon	vldb	1994	129
1fKcOU28PAEJ	support except behavior schema consist eas schema evolut oodbm	amiel bellosta dujardin simon	"proceedings of the international conference on very large  &hellip;,"	1994	29103
conf/vldb/AmielBDS94	support except schema consist eas schema evolut oodbm	amiel bellosta dujardin simon	vldb	1994	129
hBak02oe1GMJ	support except schema consist eas schema evolut oodbm	amiel bellosta dujardin simon	"proceedings of the 20th international conference on very  &hellip;,"	1994	36719
journals/sigmod/Suciu01	databas theori xml	suciu	sigmod record	2001	131
_vOvQUzSV-gJ	databas theori xml	suciu	"sigmod record,"	2001	11737
journals/sigmod/Fankhauser01	xqueri formal semant state challeng	fankhauser	sigmod record	2001	133
_sltXCfRKhYJ	xqueri formal semant state challeng	fankhauser	"sigmod record,"	2001	59684
conf/vldb/LevyMS94	queri optim predic movearound	levy mumick sagiv	vldb	1994	136
l-QHiSxClXcJ	queri optim predic movearound	levy mumick sagiv	"proceedings of the 20th international conference on very  &hellip;,"	1994	16062
journals/sigmod/Lomet01	evolut effect btree page organ techniqu person account	lomet	sigmod record	2001	137
fI5o4MfWwzIJ	evolut effect btree page organ techniqu person account	lomet	"sigmod record,"	2001	24660
conf/vldb/HasanM94	optim algorithm exploit parallelismcommun tradeoff pipelin parallel	hasan motwani	vldb	1994	138
JW7LRQwx_goJ	optim algorithm exploit parallelismcommun tradeoff pipelin  	hasan motwani	"proceedings of the international conference on very large  &hellip;,"	1994	50111
conf/vldb/MohaniaS94	issu design distribut deduct databas	mohania sarda	vldb	1994	140
JORYEDHKYSMJ	issu design distribut deduct databas	mohania sarda	"proceedings of the international conference on very large  &hellip;,"	1994	58481
conf/vldb/LiC94	semant integr heterogen databas use neural network	clifton	vldb	1994	141
O0rvK0GFmBEJ	semant integr heterogen databas use neural network	clifton	"vldb,"	1994	14805
journals/sigmod/ChienTZ01	xml document version	chien tsotras zaniolo	sigmod record	2001	142
cjBpI3TcSWsJ	xml document version	chien tsotras zaniolo	"sigmod record,"	2001	369
conf/vldb/IdrisGC94	provid dynam secur control feder databas	idris gray churchhouse	vldb	1994	143
Xf7TnMxlGTkJ	provid dynam secur control feder databas	idris gray churchhouse	"proceedings of the international conference on very large  &hellip;,"	1994	24167
conf/vldb/FerrandinaMZ94	implement lazi databas updat object databas system	ferrandina meyer zicari	vldb	1994	146
yQ2TMZ92GaIJ	implement lazi databas updat object databas system	ferrandina meyer zicari	"vldb,"	1994	36342
conf/vldb/SetzerZ94	new concurr control algorithm access compact btree	setzer zisman	vldb	1994	150
1tmW1mOCZqIJ	new concurr control algorithm access compact btree	setzer zisman	"proceedings of the international conference on very large  &hellip;,"	1994	44664
conf/vldb/GehaniJR94	odef file system interfac objectori databas	gehani jagadish roome	vldb	1994	151
MxYiwR2f9UYJ	odef file system interfac objectori databas	gehani jagadish roome	"proceedings of the 20th international conference on very  &hellip;,"	1994	40341
conf/vldb/KilgerM94	index multipl set	kilger moerkotte	vldb	1994	154
OzgnxugGCWMJ	index multipl set	kilger moerkotte	"vldb,"	1994	29910
conf/vldb/HoelS94	perform dataparallel spatial oper	hoel samet	vldb	1994	157
Id1cvsQURBAJ	perform dataparallel spatial oper	hoel samet	"proceedings of the international conference on very large  &hellip;,"	1994	16245
journals/sigmod/EisenbergM01	sqlxml sqlx inform group compani	eisenberg melton	sigmod record	2001	158
GKUflKzgAVEJ	sqlxml sqlx inform group compani	eisenberg melton	"sigmod record,"	2001	62559
conf/vldb/BrinkhoffK94	impact global cluster spatial databas system	brinkhoff kriegel	vldb	1994	160
egvBPvtoaMMJ	impact global cluster spatial databas system	brinkhoff kriegel	"proceedings of the international conference on very large  &hellip;,"	1994	28780
conf/vldb/MuntzR94	requirementbas approach data model reengin	muntz ramiller	vldb	1994	162
o9DfGI9zsloJ	requirementbas approach data model reengin	muntz ramiller	"proceedings of the international conference on very large  &hellip;,"	1994	9744
conf/vldb/ChakravarthyKAK94	composit event activ databas semant context detect	chakravarthy krishnaprasad anwar kim	vldb	1994	166
L9eva_gsxrIJ	composit event activ databas semant context detect	chakravarthy krishnaprasad anwar kim	"proceedings of the international conference on very large  &hellip;,"	1994	45469
conf/vldb/Chiueh94	contentbas imag index	chiueh	vldb	1994	170
nOF-SuSEaaEJ	contentbas imag index	chiueh	"vldb,"	1994	15513
conf/vldb/DeWittKLPY94	clientserv paradis	dewitt kabra luo patel	vldb	1994	171
cehAAlTq4s8J	clientserv paradis	dewitt kabra luo patel	"vldb,"	1994	48997
journals/sigmod/ShethMKA01	research multiorganiz process semant inform broker lsdi lab	sheth miller kochut arpinar	sigmod record	2001	172
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D604286%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	research multiorganiz process semant inform broker lsdi lab	sheth miller kochut arpinar	"sigmod record,"	2001	32201
conf/vldb/ShatdalKN94	cach consciou algorithm relat queri process	shatdal kant naughton	vldb	1994	175
27-P8X0mjfcJ	cach consciou algorithm relat queri process	shatdal kant naughton	"proceedings of the international conference on very large  &hellip;,"	1994	22119
conf/vldb/LevySSZ94	challeng global inform system	levy silberschatz srivastava zemankova	vldb	1994	177
MtScC-fTWCEJ	challeng global inform system	levy silberschatz srivastava zemankova	"proceedings of the international conference on very large  &hellip;,"	1994	31762
journals/sigmod/BabuW01	continu queri data stream	babu widom	sigmod record	2001	178
KJ26gUP0PyIJ	continu queri data stream	babu widom	"sigmod record,"	2001	29774
journals/sigmod/Huyn01	data analysi mine life scienc	huyn	sigmod record	2001	179
KNYDz76C_HsJ	data analysi mine life scienc	huyn	"sigmod record,"	2001	40404
conf/vldb/CochinwalaB94	multidatabas system track retriev financi data	cochinwala bradley	vldb	1994	181
Bp69wMYw9DAJ	multidatabas system track retriev financi data	cochinwala bradley	"proceedings of the international conference on very large  &hellip;,"	1994	63304
conf/vldb/BernsteinD94	overview repositori technolog	bernstein dayal	vldb	1994	183
rNNtyNCgHLoJ	overview repositori technolog	bernstein dayal	"vldb,"	1994	60497
journals/sigmod/Aberer01	advanc xml data process  guest editor introduct	aberer	sigmod record	2001	184
url:http://portal.acm.org/citation.cfm%3Fid%3D603867.603869%26coll%3DGUIDE%26dl%3DACM%26idx%3DJ689%26part%3Dperiodical%26WantType%3Dperiodical%26title%3DACM%2520SIGMOD%2520Record%26CFID%3D11111111%26CFTOKEN%3D2222222	advanc xml data process guest editor introduct	aberer	"acm sigmod record,"	2001	59822
conf/vldb/IyerW94	data compress support databas	iyer wilhite	vldb	1994	185
5smJVUm1KAYJ	data compress support databas	iyer wilhite	"vldb,"	1994	50975
conf/vldb/RosenthalS94	data integr larg challeng reus	rosenthal seligman	vldb	1994	190
NFUWsBXtCncJ	data integr larg challeng reus	rosenthal seligman	"proceedings of the international conference on very large  &hellip;,"	1994	17439
journals/sigmod/LabrinidisM01	careerenhanc servic sigmod onlin	labrinidis mendelzon	sigmod record	2001	191
url:http://portal.acm.org/ft_gateway.cfm%3Fid%3D603886%26type%3Dpdf%26dl%3DGUIDE%26dl%3DACM%26CFID%3D11111111%26CFTOKEN%3D2222222	careerenhanc servic sigmod onlin	labrinidis mendelzon	"sigmod record,"	2001	40928
